id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
7786391,2017-09-03,41.9598935265,-111.6568747536,Cache,Utah,United States,Speyeria hesperis,Northwestern Fritillary,Nymphalidae,Speyeria,Speyeria hesperis,
7786394,2017-09-03,41.9599113381,-111.6568898411,Cache,Utah,United States,Ochlodes sylvanoides omnigena,Great Basin Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,Ochlodes sylvanoides omnigena
7786401,2017-09-03,41.9600265893,-111.6575650872,Cache,Utah,United States,Colias philodice eriphyle,,Pieridae,Colias,Colias philodice,Colias philodice eriphyle
7786406,2017-09-03,41.960044317,-111.6578166281,Cache,Utah,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7786411,2017-09-03,41.9599425188,-111.657961635,Cache,Utah,United States,Colias philodice eriphyle,,Pieridae,Colias,Colias philodice,Colias philodice eriphyle
7786420,2017-09-03,41.960130114,-111.6578258442,Cache,Utah,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
7786425,2017-09-03,41.9600478374,-111.6577567813,Cache,Utah,United States,Speyeria mormonia eurynome,Eurynome Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,Speyeria mormonia eurynome
7786434,2017-09-03,41.9602756575,-111.6574225948,Cache,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea,
7786437,2017-09-03,41.9602357177,-111.6572793481,Cache,Utah,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti,
7786444,2017-09-03,41.960233287,-111.6566787009,Cache,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea,
7786448,2017-09-03,41.9591132552,-111.6572568008,Cache,Utah,United States,Pieris rapae,Cabbage White,Pieridae,Pieris,Pieris rapae,
7786451,2017-09-03,41.9594189432,-111.6577084177,Cache,Utah,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
7786452,2017-09-03,41.9592878921,-111.657926431,Cache,Utah,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7786453,2017-09-03,41.9593113615,-111.6579118465,Cache,Utah,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7786458,2017-09-03,41.9592690748,-111.6579851044,Cache,Utah,United States,Plebejus melissa,Melissa Blue,Lycaenidae,Plebejus,Plebejus melissa,
7786463,2017-09-03,41.9592654286,-111.6580358987,Cache,Utah,United States,Colias philodice eriphyle,,Pieridae,Colias,Colias philodice,Colias philodice eriphyle
7786465,2017-09-03,41.959406077,-111.6578735412,Cache,Utah,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7786469,2017-09-03,41.9597885851,-111.6579420214,Cache,Utah,United States,Ochlodes sylvanoides omnigena,Great Basin Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,Ochlodes sylvanoides omnigena
7786472,2017-09-03,41.9598579873,-111.6579744593,Cache,Utah,United States,Ochlodes sylvanoides omnigena,Great Basin Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,Ochlodes sylvanoides omnigena
7786474,2017-09-03,41.9601090672,-111.657912098,Cache,Utah,United States,Colias philodice eriphyle,,Pieridae,Colias,Colias philodice,Colias philodice eriphyle
7786479,2017-09-03,41.9601533236,-111.6579523311,Cache,Utah,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme,
7786483,2017-09-03,41.9603736001,-111.6577831005,Cache,Utah,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7786497,2017-09-03,41.960283327,-111.657883348,Cache,Utah,United States,Lycaena heteronea,Blue Copper,Lycaenidae,Lycaena,Lycaena heteronea,
