scientific_name,latitude,longitude,observed_on,provider
Ochlodes sylvanoides,38.462234,-122.560333,2013-09-25,iNat
Ochlodes sylvanoides,38.407773,-122.685356,2013-09-27,iNat
Colias eurytheme,38.406657,-122.683972,2013-09-27,iNat
Colias eurytheme,37.5229888889,-122.3202638889,2013-10-05,iNat
Ochlodes sylvanoides,37.522739,-122.318058,2013-10-05,iNat
Ochlodes sylvanoides,37.522321,-122.323751,2013-10-05,iNat
Ochlodes sylvanoides,37.523954,-122.320275,2013-10-05,iNat
Ochlodes sylvanoides,37.526445,-122.319902,2013-10-05,iNat
Ochlodes sylvanoides,38.134514,-122.573631,2013-10-07,iNat
Vanessa cardui,39.989088,-105.258799,2013-10-07,iNat
Vanessa cardui,31.447848,-110.306972,2013-10-05,iNat
Vanessa cardui,31.923409,-106.041155,2013-10-13,iNat
Vanessa cardui,32.554401,-117.086459,2013-10-12,iNat
Vanessa cardui,32.554401,-117.086459,2013-10-12,iNat
Vanessa cardui,34.133227,-118.184008,2013-10-12,iNat
Vanessa cardui,34.070378,-118.228463,2013-10-16,iNat
Colias eurytheme,37.080901,-121.529864,2013-10-18,iNat
Vanessa cardui,37.7854416667,-122.4025583333,2013-10-23,iNat
Ochlodes sylvanoides,36.510126,-121.185422,2013-10-19,iNat
Colias eurytheme,36.513003,-121.186388,2013-10-19,iNat
Vanessa cardui,33.78143,-117.226181,2013-10-21,iNat
Colias eurytheme,36.490517,-121.147066,2013-10-19,iNat
Vanessa cardui,36.490336,-121.149448,2013-10-19,iNat
Vanessa cardui,37.262714,-122.404251,2013-10-25,iNat
Vanessa cardui,35.610348,-121.086459,2013-10-26,iNat
Vanessa cardui,35.610348,-121.086631,2013-10-26,iNat
Vanessa cardui,34.099817,-118.010946,2013-10-26,iNat
Vanessa cardui,33.280634,-116.367667,2013-10-26,iNat
Vanessa cardui,33.286019,-116.390984,2013-10-26,iNat
Vanessa cardui,32.554293,-117.085794,2013-10-27,iNat
Vanessa cardui,32.556743,-117.085268,2013-10-27,iNat
Vanessa cardui,32.556056,-117.084764,2013-10-27,iNat
Vanessa cardui,32.556056,-117.084764,2013-10-27,iNat
Ochlodes sylvanoides,33.340209,-116.901398,2008-09-06,iNat
Vanessa cardui,33.340209,-116.901398,2008-09-06,iNat
Vanessa cardui,32.551606,-117.063682,2013-10-27,iNat
Vanessa cardui,32.5545,-117.085783,2013-10-27,iNat
Vanessa cardui,36.5913333333,-121.8823333333,2013-10-25,iNat
Vanessa cardui,35.185471,-120.805648,2013-11-01,iNat
Vanessa cardui,35.540184000000004,-121.091495,2013-10-30,iNat
Vanessa cardui,37.345235,-122.232131,2013-11-02,iNat
Vanessa cardui,36.981327,-122.023613,2013-11-03,iNat
Colias eurytheme,37.616874,-122.481991,2013-10-26,iNat
Vanessa cardui,38.450022,-122.714726,2013-11-05,iNat
Colias eurytheme,37.352147,-122.24041,2013-11-02,iNat
Vanessa cardui,38.452749,-122.574136,2013-11-06,iNat
Vanessa cardui,36.99364,-121.921941,2013-11-07,iNat
Vanessa cardui,33.963022,-118.388095,2012-09-29,iNat
Vanessa cardui,37.450059,-122.437992,2013-11-10,iNat
Vanessa cardui,32.858573,-116.917126,2013-11-10,iNat
Vanessa cardui,34.0190887451,-116.1120986938,2013-11-01,iNat
Colias eurytheme,34.0190887451,-116.1120986938,2013-11-01,iNat
Vanessa cardui,34.0225028992,-116.0787963867,2013-11-01,iNat
Vanessa cardui,32.858221,-116.915195,2013-11-10,iNat
Vanessa cardui,33.7994041443,-115.7855987549,2013-11-01,iNat
Vanessa cardui,36.99372,-121.921733,2013-11-14,iNat
Vanessa cardui,37.79845,-122.4716033333,2013-11-15,iNat
Vanessa cardui,37.411837,-121.988547,2013-11-15,iNat
Vanessa cardui,38.513889,-123.245278,2013-11-09,iNat
Vanessa cardui,38.6480083333,-123.3974816667,2013-11-08,iNat
Vanessa cardui,37.838166,-120.460646,2013-11-17,iNat
Vanessa cardui,32.873463,-115.663446,2013-11-17,iNat
Vanessa cardui,33.1798019409,-115.6192626953,2013-11-01,iNat
Vanessa cardui,32.554171,-117.087293,2008-04-20,iNat
Vanessa cardui,38.45282,-122.57412,2013-11-21,iNat
Vanessa cardui,32.554171,-117.087293,2010-09-04,iNat
Vanessa cardui,37.284496,-122.063859,2013-11-21,iNat
Vanessa cardui,37.7367216667,-122.475525,2013-11-22,iNat
Erebia epipsodea,44.416114,-110.576534,2007-06-06,iNat
Vanessa cardui,37.8058283333,-122.4287116667,2013-11-23,iNat
Vanessa cardui,37.941168,-122.13766,2013-11-23,iNat
Vanessa cardui,38.461318,-122.7069,2013-11-24,iNat
Vanessa cardui,37.7809033333,-122.5119466667,2013-11-24,iNat
Vanessa cardui,37.797404,-122.479343,2013-11-24,iNat
Vanessa cardui,33.012384,-117.273588,2013-11-23,iNat
Vanessa cardui,33.012523,-117.274378,2013-11-23,iNat
Vanessa cardui,37.803504,-122.478504,2013-11-24,iNat
Vanessa cardui,36.978814,-121.937271,2013-11-26,iNat
Vanessa cardui,34.184112,-118.097875,2013-10-14,iNat
Vanessa cardui,38.457977,-122.694883,2013-12-01,iNat
Vanessa cardui,37.79962,-122.3284133333,2013-12-01,iNat
Vanessa cardui,37.8633833333,-122.4395666667,2013-12-01,iNat
Vanessa cardui,33.589703,-117.039328,2013-12-01,iNat
Vanessa cardui,36.959593,-122.025822,2013-11-28,iNat
Vanessa cardui,33.519116,-115.938013,2012-03-24,iNat
Vanessa cardui,37.395835,-122.422414,2013-12-01,iNat
Vanessa cardui,38.406893,-122.679434,2013-12-10,iNat
Vanessa cardui,32.983351,-116.569297,2013-12-14,iNat
Vanessa cardui,37.7625166667,-122.4365383333,2013-12-20,iNat
Vanessa cardui,33.078078,-115.709448,2013-12-23,iNat
Vanessa cardui,29.797341,-100.998012,2013-12-31,iNat
Vanessa cardui,32.893126,-117.24241,2014-01-15,iNat
Vanessa cardui,35.643859,-121.190753,2014-01-13,iNat
Vanessa cardui,34.258336,-118.249739,2012-06-15,iNat
Vanessa cardui,37.457621,-122.108801,2014-01-25,iNat
Vanessa cardui,32.623851,-117.129188,2014-01-25,iNat
Celastrina echo,36.967159,-122.122702,2014-01-25,iNat
Vanessa cardui,34.131074,-118.111851,2014-02-01,iNat
Vanessa cardui,34.110738,-117.713913,2014-02-10,iNat
Vanessa cardui,34.110738,-117.713913,2014-02-10,iNat
Celastrina echo,36.6459045139,-121.6213401794,2014-02-11,iNat
Celastrina echo,37.2388504044,-121.6429868626,2014-02-12,iNat
Celastrina echo,35.81569,-106.532803,2011-05-13,iNat
Celastrina echo,37.1512953503,-122.3176408431,2014-02-14,iNat
Vanessa cardui,32.828466,-117.045851,2014-02-16,iNat
Aglais milberti,41.396272,-120.226903,2006-08-19,iNat
Vanessa cardui,36.638134,-120.626852,2014-02-14,iNat
Vanessa cardui,33.258355,-116.361008,2014-02-17,iNat
Vanessa cardui,36.133178,-105.476732,2012-08-03,iNat
Celastrina echo,35.095491,-106.394026,2011-04-22,iNat
Vanessa cardui,33.667096,-117.841635,2014-02-16,iNat
Celastrina echo,37.096811,-122.276814,2014-02-21,iNat
Celastrina echo,37.701029,-122.409043,2014-02-22,iNat
Vanessa cardui,32.538854,-117.121468,2014-02-22,iNat
Vanessa cardui,37.6402966667,-122.4782866667,2014-02-25,iNat
Vanessa cardui,37.867799,-122.238303,2014-02-21,iNat
Celastrina echo,36.771323,-118.340097,2012-06-30,iNat
Ochlodes sylvanoides,45.886599,-122.415447,2012-08-12,iNat
Plebejus anna,46.242757,-122.173119,2012-08-13,iNat
Colias eurytheme,34.668776,-106.737799,2011-08-26,iNat
Vanessa cardui,35.136668,-106.47859,2012-03-17,iNat
Vanessa cardui,37.751436,-122.242069,2014-03-05,iNat
Celastrina echo,37.899668,-122.25233,2014-03-05,iNat
Celastrina echo,37.1734066292,-122.1084319815,2014-03-06,iNat
Vanessa cardui,33.825859,-117.768848,2014-03-07,iNat
Celastrina echo,37.81081,-122.183161,2014-03-08,iNat
Vanessa cardui,38.47117,-123.134236,2014-03-09,iNat
Vanessa cardui,34.081295,-118.048331,2014-03-05,iNat
Vanessa cardui,36.501261,-121.138258,2008-05-09,iNat
Vanessa cardui,32.892946,-117.242091,2014-03-07,iNat
Celastrina echo,37.34036584,-121.70867298,2014-03-12,iNat
Celastrina echo,37.399145,-121.7973333333,2014-03-13,iNat
Vanessa cardui,35.639406,-121.17347,2014-03-12,iNat
Celastrina echo,37.7772090753,-122.5650276558,2014-03-15,iNat
Celastrina echo,37.7579759318,-122.5913736634,2014-03-15,iNat
Celastrina echo,37.119161,-122.309085,2014-03-15,iNat
Celastrina echo,37.149909,-121.777092,2014-03-15,iNat
Celastrina echo,35.095491,-106.394026,2011-04-16,iNat
Polygonia gracilis,35.095491,-106.394026,2011-04-16,iNat
Colias eurytheme,35.095491,-106.394026,2011-04-22,iNat
Vanessa cardui,36.6137916667,-121.21167,2014-03-16,iNat
Vanessa cardui,37.956088,-122.121413,2014-03-16,iNat
Vanessa cardui,37.149132,-121.775422,2014-03-15,iNat
Vanessa cardui,36.4818438,-121.16157794,2014-03-16,iNat
Vanessa cardui,38.467635,-122.561717,2014-03-18,iNat
Vanessa cardui,35.675222,-120.346719,2014-03-06,iNat
Vanessa cardui,34.10053,-118.01333,2014-03-15,iNat
Celastrina echo,37.912388,-122.268495,2014-03-17,iNat
Colias eurytheme,38.438695,-122.646149,2014-03-07,iNat
Celastrina echo,37.828425,-122.4820166667,2014-03-05,iNat
Vanessa cardui,38.763235,-121.163836,2008-03-30,iNat
Celastrina echo,37.67957,-122.425575,2014-03-22,iNat
Celastrina echo,37.467433,-122.277591,2014-03-22,iNat
